Horse,Color / Sex / Age,Trainer,Owner
REGULATE,b.c.3,Bob Baffert,"Juddmonte Farms, Inc."
REPLICATOR,b.c.3,Chad C. Brown,e Five Racing Thoroughbreds and Magic Cap Stables 
RERIDE,b.c.3,Steven M. Asmussen,"Winchell Thoroughbreds, LLC "
RESTORING HOPE,dk b/.c.3,Bob Baffert,Gary and Mary West
RESTRAINEDVENGENCE,dk b/.g.3,Val Brinkerhoff,Kelly Brinkerhoff 
RETIREMENT FUND,b.c.3,Steven M. Asmussen,"L and N Racing, LLC "
RIDE A COMET,b.c.3,Mark E. Casse,"John C. Oxley and My Meadowview Farm, LLC "
RIDE TO THE WIRE,dk b/.c.3,Ben D. A. Cecil,"Reddam Racing, LLC "
RIVINGTON,b.c.3,H. Graham Motion,Lawrence Kip McCreery
ROAD TO DAMASCUS,b.c.3,Todd A. Pletcher,"WinStar Farm, LLC , China Horse Club International, Ltd. and SF Racing, LLC "
ROAD TO MEATH,b.c.3,Chad C. Brown,"Mr. and Mrs. William K. Warren, Jr. "
ROUTE SIX SIX,b.c.3,Brian J. Koriner,Jay Em Ess Stable Brian
ROYAL EDITION,dk b/.c.3,D. Wayne Lukas,Phillip Maloof and D. Wayne Lukas 
RUCKSACK,b.c.3,Nicholas P. Zito,St. Elias Stable 
RUGGERO (JPN),dk b/.c.3,Yuichi Shikato,Takashi Muraki 
SALMANAZAR,b.c.3,Todd A. Pletcher,Starlight Racing 
SAMDAR,b.c.3,Bob Baffert,"Spendthrift Farm, LLC"
SAN ELIJO,b.g.3,Michael Stidham,"Cobra Farm, Inc. and R R Partners "
SANTIAMEN,dk b/.c.3,Antonio Sano,Cairoli Racing Stable An
SARATOGA MORNING,ch.c.3,J. Keith Desormeaux,"Don't Tell My Wife Stables and Monomoy Stables, LLC J. "
SCAT BIG DAD,dk b/.c.3,Richard E. Mandella,JoAnn and Alex Lieblong 
SCRAPPER,b.c.3,Todd A. Pletcher,Sumaya U. S. Stables 
SEA FOAM,b.c.3,Christophe Clement,Waterville Lake Stable 
SEABHAC,dk b/.c.3,Todd A. Pletcher,Donegal Racing 
SEAHENGE,b.c.3,Aidan P. O'Brien,"Mr. Michael Tabor, Mr. Derrick Smith and Mrs. John Magnier "
SEEKING SHEBA TOWN,b.c.3,Doug Watson,Charles E. Fipke 
SEPTIMIUS SEVERUS,dk b/.c.3,George Weaver,"R. A. Hill Stable, Reeves Thoroughbred Racing and West Point Thoroughbreds "
SEVEN TRUMPETS,dk b/.c.3,Dale L. Romans,"West Point Thoroughbreds, LLC "
SHANE ZAIN,b.c.3,Doug O'Neill,Zedan Racing Stables 
SHIVERMETIMBERS,dk b/.c.3,Jerry Hollendorfer,Mark DeDomenico LLC and West Point Thoroughbreds 
SHOW TIME ROCKET,b.c.3,Bob Baffert,Frank Fletcher Racing Operations
SILVER HAMMER,gr/ro.c.3,Mark E. Casse,"Pocket Aces Racing, LLC"
SIOUX NATION,b.c.3,Aidan P. O'Brien,"Mr. Michael Tabor, Mr. Derrick Smith and Mrs. John Magnier "
SLOT,dk b/.c.3,Todd A. Pletcher,"Harrell Ventures, LLC "
SNAPPER SINCLAIR,b.c.3,Steven M. Asmussen,"Bloom Racing Stable, LLC "
SOLOMINI,ch.c.3,Bob Baffert,"Zayat Stables, LLC"
SOLTERO,b.c.3,Philip D'Amato,"Sweetwater Stable, Larry Connor, Bruno Deberdt and Ferro Family Trust "
SOMEBODY,dk b/.c.3,H. James Bond,"William L. Clifton, Jr. "
SONG OF THE NILE,b.c.3,D. Wayne Lukas,"Zayat Stables, LLC D. "
SOUL BEAM,b.c.3,Dallas Stewart,Charles E. Fipke 
SOUL STREIT,b.r.3,Bob Baffert,BCKH Stable and Natalie J. Baffert
SOUTACHE,b.c.3,Ralph E. Nicks,"Gold Mark Farm, LLC "
SPANISH BAY,b.g.3,Richard E. Mandella,"Godolphin Racing, LLC "
SPHENE,b.c.3,Miguel L. Hernandez,Judge Lanier Racing 
SPORTING CHANCE,dk b/.c.3,D. Wayne Lukas,Robert C. Baker and William L. Mack 
STILL HAVING FUN,b.c.3,Timothy L. Keefe,"Gary Barber, Wachtel Stable and Terp Racing LLC "
STORM RUNNER,ch.c.3,Dale L. Romans,Team Valor International and Gemstone Stables 
STRIKE POWER,ch.c.3,Mark A. Hennig,Courtlandt Farms 
STUART HALL,b.c.3,Dallas Stewart,G M B Racing Dall
SUPER SOL,b.c.3,Bob Baffert,"Zayat Stables, LLC"
SUPREME AURA,ch.c.3,Michael Stidham,Stallionaire Enterprises LLC 
SWASH AND BUCKLE,b.c.3,"Anthony R. Margotta, Jr.",St. Elias Stable 
TABIA,gr/ro.g.3,Ian R. Wilkes,"Lothenbach Stables, Inc. "
